Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	LFQ intensity Naive 1	LFQ intensity Naive 2	LFQ intensity Naive 3	LFQ intensity Naive+PRC2i 1	LFQ intensity Naive+PRC2i 2	LFQ intensity Naive+PRC2i 3	log2 fold change	p-value
A0A1U9X8F2;A0A1U9X8F1;Q06587;A0A024RCR9;B4DW57;B4DVB5;B4DMN3	A0A1U9X8F2;A0A1U9X8F1;Q06587;A0A024RCR9;B4DW57;B4DVB5	E3 ubiquitin-protein ligase RING1	RING1	27.25178	27.45912	27.59982	26.94168	27.20313	27.51488	0.217014313	0.486629418
A0A1U9X8R9;P14373;Q59EC6;A0A0G2JIZ4;A0A140T9B9;A0A140T9N6;A0A140T9V9;H0Y551;A0A140T9Q6	A0A1U9X8R9;P14373;Q59EC6	Zinc finger protein RFP	TRIM27	24.12857	24.56087	24.3692	24.4592	24.44316	24.19408	-0.012603124	0.027903125
A0A1U9X8Y0;A0A1U9X8V5;A0A1U9X8V4;A0A1U9X8W8;B7ZW61;A0A1U9X8Y2;Q9NU63;A0A140T983	A0A1U9X8Y0;A0A1U9X8V5;A0A1U9X8V4;A0A1U9X8W8;B7ZW61;A0A1U9X8Y2;Q9NU63	Zinc finger protein 57 homolog	ZFP57	24.18495	24.16139	24.3908	25.58512	22.72812	23.91661	0.169099808	0.071178966
A0A1U9X9B9;A0A1U9X9B5;A0A1U9X9A8;A0A1U9X992;A0A1U9X990;A0A024RCN6;P26640;A0A1U9X9A2;A0A1U9X994;A0A140T936;B4DT32;A0A140T954;A2ABF4;A0A0G2JJT9;H0Y426;A0A140T904	A0A1U9X9B9;A0A1U9X9B5;A0A1U9X9A8;A0A1U9X992;A0A1U9X990;A0A024RCN6;P26640;A0A1U9X9A2;A0A1U9X994;A0A140T936	Valine--tRNA ligase	VARS	27.6554	27.68919	27.4311	27.86579	28.16873	27.75907	-0.339300791	1.085014191
A0A1U9XBE3;A0A1U9XBE0;A0A1U9XBC1;Q14676;A0A1U9XBC0;A0A1U9XBD9;A0A1U9XBC3;B4DYH4	A0A1U9XBE3;A0A1U9XBE0;A0A1U9XBC1;Q14676;A0A1U9XBC0;A0A1U9XBD9;A0A1U9XBC3;B4DYH4	Mediator of DNA damage checkpoint protein 1	MDC1	29.71007	29.52055	29.66944	29.63185	29.43968	29.53141	0.099040349	0.547650795
A0A1W1GSK9;Q92889;A0A1W1GST9;A0A1W1GSP5;A0PJA9;A0A1W1GSL6;B4DXD8;I3NI48	A0A1W1GSK9;Q92889;A0A1W1GST9;A0A1W1GSP5	DNA repair endonuclease XPF	ERCC4	25.61874	25.47788	25.45513	25.36326	25.46995	25.79719	-0.026217143	0.06510765
A0A1W2PNV4;E9PF58;Q75MY0;F8WFD3	A0A1W2PNV4;E9PF58		ARPC1A	26.38156	26.69843	26.43012	26.30241	26.70068	26.70187	-0.064950307	0.145865575
A0A1W2PNX8;Q9H3U1;B4DZL0;B4DEA9	A0A1W2PNX8;Q9H3U1	Protein unc-45 homolog A	UNC45A	27.19798	27.17798	27.27941	27.05279	27.26874	27.15151	0.060773849	0.364062802
A0A1W2PNZ9;Q15652;B7ZLC8;H7BXU7;A0PJE4	A0A1W2PNZ9;Q15652;B7ZLC8	Probable JmjC domain-containing histone demethylation protein 2C	JMJD1C	27.0879	27.07163	27.09497	26.96345	26.9729	27.2379	0.026749929	0.107015726
A0A1W2PPI5;Q5JSJ4;B9EIK3;Q8N8M2	A0A1W2PPI5;Q5JSJ4;B9EIK3;Q8N8M2	Protein DDX26B	DDX26B	24.39395	24.44291	24.23579	24.61818	24.59656	24.06299	-0.068364461	0.130881742
A0A1W2PPZ5;P23193;B7Z4W0;A0A1W2PRL9;E5RIS7;E5RJ93;B7Z4S1;E5RK46;A0A1W2PS15;E5RFI1;A0A1W2PPV7	A0A1W2PPZ5;P23193;B7Z4W0;A0A1W2PRL9;E5RIS7	Transcription elongation factor A protein 1	TCEA1	33.07833	32.77925	32.83885	32.98113	32.92119	32.81385	-0.006580353	0.021165524
A0A1W2PQ51;Q59F66;Q92841;B4DZQ7;A0A0U1RQJ0;Q9UQL5	A0A1W2PQ51;Q59F66;Q92841;B4DZQ7	Probable ATP-dependent RNA helicase DDX17	DDX17	33.81412	33.64839	33.79962	33.76258	33.56955	33.74845	0.060513814	0.301225882
A0A1W2PQ69;P0CJ79	A0A1W2PQ69;P0CJ79	Zinc finger protein 888	ZNF888	23.10615	23.15269	23.08848	21.57677	22.95138	23.80577	0.337798436	0.200324427
A0A1W2PQV5;A0A1W2PNM1;B2RB06;A0A140VK76;A0A0A0MSE2;B3KTT6;A0A0D9SFP2;E9PF18;Q16836;A0A1W2PQC2;A0A1W2PQ78;A0A1W2PRT2	A0A1W2PQV5;A0A1W2PNM1;B2RB06;A0A140VK76;A0A0A0MSE2;B3KTT6;A0A0D9SFP2;E9PF18;Q16836;A0A1W2PQC2;A0A1W2PQ78;A0A1W2PRT2	"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial"	HADH	21.92816	23.03848	22.93806	24.76936	24.58909	23.85291	-1.768889109	1.760948725
A0A1W2PRB8;E9PQS1;A0A087WT99;A8K718;A0A024R396;Q9H0W9;E9PPB5;E9PJU8;A0A024R3B0;E9PR95;E9PSC3;E9PLC5;E9PLB3;E9PIP1	A0A1W2PRB8			27.24318	27.3238	27.14014	27.13712	27.24227	27.2348	0.030978521	0.187882267
A0AV58;G3V340;G3V3G7;Q0VAF8	A0AV58		STRN3	25.44351	25.31927	25.10513	25.83359	25.90058	25.43192	-0.432726542	1.152424469
A0JLT2;J3KR33;I0J7B9	A0JLT2;J3KR33;I0J7B9	Mediator of RNA polymerase II transcription subunit 19	MED19;MED19AS	25.64238	25.97773	25.58892	25.44177	25.56703	25.0549	0.381774902	0.907317121
A0JLT8;Q6PIK7;Q8N302;A8K029	A0JLT8;Q6PIK7;Q8N302;A8K029	Angiogenic factor with G patch and FHA domains 1	AGGF1	24.93251	25.08164	25.22325	24.76886	24.93454	25.44676	0.029079437	0.045031942
A0JP10;Q03468;B4DZN6;Q59FF6;A8K4Q3;D6R9X7	A0JP10;Q03468;B4DZN6;Q59FF6	DNA excision repair protein ERCC-6	ERCC6	26.64568	26.60343	26.8825	26.64581	26.5267	26.9428	0.005432765	0.01186414
A0JP11;Q99570;B2RAJ6;D6RJ98;D6RAC3;D6RBB7	A0JP11;Q99570;B2RAJ6	Phosphoinositide 3-kinase regulatory subunit 4	PIK3R4	26.79699	26.76028	27.03034	27.06579	27.39329	27.33492	-0.402132034	1.422123736
A0M8W4;Q15819;G3V113;H0YBP9;H0YBX6	A0M8W4;Q15819;G3V113;H0YBP9;H0YBX6	Ubiquitin-conjugating enzyme E2 variant 2	UBE2V2	27.23224	27.31216	27.00282	27.24055	27.14092	27.11902	0.015575409	0.053678044
A0MNN4;Q2TAY7	A0MNN4;Q2TAY7	"WD40 repeat-containing protein SMU1;WD40 repeat-containing protein SMU1, N-terminally processed"	SMU1	31.30166	31.30677	31.25935	31.19007	31.08474	30.97767	0.205096563	1.502871949
A0MNP2;Q96DI7;B2R9I9;Q9NSS8	A0MNP2;Q96DI7;B2R9I9	U5 small nuclear ribonucleoprotein 40 kDa protein	WDR57;SNRNP40	30.68328	30.45992	30.60902	30.47615	30.43718	30.57461	0.088095347	0.497038356
A1L3Z9;Q2TAL8;Q9NXG9;Q9H9Z1;C9JAL2;C9JIA8	A1L3Z9;Q2TAL8;Q9NXG9;Q9H9Z1	Glutamine-rich protein 1	QRICH1	28.70728	28.67583	28.72595	28.66848	28.71063	28.62024	0.036570867	0.53935709
A1L407;P22492	A1L407;P22492	Histone H1t	HIST1H1T	28.91917	29.06925	28.89125	29.03207	29.0715	28.61087	0.055076599	0.128368187
A1L4K2;B5BUB8;P45983;A6NF29;C9J762	A1L4K2;B5BUB8;P45983;A6NF29	Mitogen-activated protein kinase;Mitogen-activated protein kinase 8	MAPK8	26.01186	25.81919	26.09315	26.33444	26.179	26.09428	-0.227839788	0.994454728
A1X283;G3V144;A0A1B0GUF2	A1X283	SH3 and PX domain-containing protein 2B	SH3PXD2B	26.04126	26.02979	26.22872	26.32685	26.52809	25.86498	-0.140046438	0.27159361
A2A2Q9;Q9Y312	A2A2Q9;Q9Y312	Protein AAR2 homolog	AAR2	26.56905	26.69232	26.49791	26.43862	26.40636	26.24144	0.22428894	1.262166215
A2AJT9;H7BXX2;B7ZLM9;F2Z385	A2AJT9;H7BXX2;B7ZLM9;F2Z385	Uncharacterized protein CXorf23	CXorf23	24.44771	23.95109	24.75088	24.86051	24.51015	24.40126	-0.207410177	0.312470401
A2RRP1;H0Y5G7;G1UI26;H7BZR3;H7C007;C9JCM7;H7C1U4;H7C1Y9;H7BZU5	A2RRP1;H0Y5G7	Neuroblastoma-amplified sequence	NBAS	25.36125	25.53496	25.42413	25.86733	25.79526	25.4502	-0.264151255	0.889715598
A3KN83;B3KUC1;Q9NVJ3;B4DV91	A3KN83	Protein strawberry notch homolog 1	SBNO1	29.56129	29.60253	29.62939	29.42238	29.59514	29.59226	0.061139425	0.43293601
A3KPC7;A4FTV9;Q99878;Q96KK5;Q6FI13;P0C0S8;A0A024RAS2;B2R5B3;Q9BTM1;Q16777;B4E0B3;H0YFX9	A3KPC7;A4FTV9;Q99878;Q96KK5;Q6FI13;P0C0S8;A0A024RAS2;B2R5B3;Q9BTM1;Q16777;B4E0B3;H0YFX9	Histone H2A;Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A type 2-A;Histone H2A type 1;Histone H2A.J;Histone H2A type 2-C	HIST1H2AH;HIST1H2AK;HIST1H2AJ;HIST2H2AA3;HIST1H2AG;H2AFJ;HIST2H2AC	34.8955	35.10489	35.08017	35.11966	35.14581	35.16811	-0.117670695	0.805824253
A3R0T8;P10412;B2R984;Q4VB24;A3R0T7	A3R0T8;P10412;B2R984;Q4VB24;A3R0T7	Histone H1.4	HIST1H1E	29.12674	28.84948	28.9779	28.8094	28.46311	29.60171	0.026633581	0.025763609
A3RJH1;Q92499;F1T0B3;A0A087X2G1;B4DP70	A3RJH1;Q92499;F1T0B3;A0A087X2G1;B4DP70	ATP-dependent RNA helicase DDX1	DDX1	30.33745	30.4338	30.29275	30.31051	30.435	30.30997	0.002839406	0.016003221
A4D0P7;O43913;Q53FC8;A8K8C0;Q9UDM8;B4DXT8;Q8NDU9;G3V0H0	A4D0P7;O43913;Q53FC8;A8K8C0;Q9UDM8;B4DXT8	Origin recognition complex subunit 5	ORC5L;ORC5	28.72032	29.02464	28.93354	28.71129	28.70974	28.83241	0.141688665	0.647295091
A4D0W4;Q9UDR5;F8WAH1;B4DFY7;F8WE53;B3KN33	A4D0W4;Q9UDR5;F8WAH1;B4DFY7	"Alpha-aminoadipic semialdehyde synthase, mitochondrial;Lysine ketoglutarate reductase;Saccharopine dehydrogenase"	AASS	24.46501	25.27508	21.42558	25.21007	25.63813	24.21956	-1.300697327	0.449723673
A4D0Z3;P84085;C9J1Z8;B4DLJ3	A4D0Z3;P84085;C9J1Z8;B4DLJ3	ADP-ribosylation factor 5	ARF5	25.36175	25.63445	25.20157	24.96204	25.24782	25.10213	0.295260111	0.913504831
A4D177;Q13185;S4R2Y4;C9JMM0;B8ZZ43	A4D177;Q13185;S4R2Y4	Chromobox protein homolog 3	CBX3	33.04481	33.09158	33.02819	32.78197	32.78924	32.89352	0.233281453	2.337322291
A4D1N4;C9JRZ6;Q9NX63;B7Z1X9;F8WAR4;F8WD73	A4D1N4;C9JRZ6;Q9NX63;B7Z1X9;F8WAR4	MICOS complex subunit MIC19	CHCHD3	24.21971	24.99869	22.2039	24.26091	24.83653	24.42509	-0.700078964	0.340570971
A4D1S0	A4D1S0	Killer cell lectin-like receptor subfamily G member 2	KLRG2	23.67541	23.83519	23.28447	23.92207	23.96385	23.35622	-0.149025599	0.228653818
A4D2N6;Q9H9J4;A4D2N7;C9JPC9;B4DWG7;E7EWZ4;E5RJP3;B4DP25	A4D2N6;Q9H9J4;A4D2N7;C9JPC9;B4DWG7	Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 42	USP42	24.72422	23.67734	24.51581	24.78487	24.21638	24.61437	-0.232747396	0.255863508
A4D2P1;A4D2P0;P63000;A4D2P2;A0A024R1P2;P15153;A0A024R9T5;B1AH77;B1AH78;B1AH80;P60763;J3KSC4;J3QLK0	A4D2P1;A4D2P0;P63000;A4D2P2;A0A024R1P2;P15153;A0A024R9T5;B1AH77;B1AH78;B1AH80;P60763	Ras-related C3 botulinum toxin substrate 1;Ras-related C3 botulinum toxin substrate 2;Ras-related C3 botulinum toxin substrate 3	RAC1;RAC2;hCG_20693;RAC3	25.63962	25.64276	25.41387	25.64392	26.12398	25.3132	-0.128282547	0.199775426
A4D2Q0;A0A146IHP0;E9PHI4;O94901;A7MCZ7;H0Y742;H0Y6N5;B4E278;H7C2K3;C9JK55;Q5S4N2;H7C019;H7C3X3;C9K051;C9JS54;C9JJU6;C9JR15	A4D2Q0;A0A146IHP0;E9PHI4;O94901;A7MCZ7;H0Y742;H0Y6N5;B4E278	SUN domain-containing protein 1	UNC84A;SUN1	30.20897	30.0932	30.34551	30.11644	29.86663	30.11607	0.182848612	0.760098218
A4QPB0;A0A024RC65;P46940;A0A0J9YXZ5;H0YLE8;B4E2M0;Q6P1N4;Q5FWG8;Q05DN7;B4DNP4;A0A087X225;Q96PA3;A0A087WWP1	A4QPB0;A0A024RC65;P46940;A0A0J9YXZ5;H0YLE8;B4E2M0;Q6P1N4	Ras GTPase-activating-like protein IQGAP1	IQGAP1;hCG_1991735	28.98509	29.1045	28.85019	29.30496	29.45554	29.10999	-0.310235977	1.175369718
A5D8W6;B3KTM8;H0YLJ3;Q9UBU8;H0YMJ0;Q0VAE4;H0YM21;H0YMT8;H0YNE0;H0YLV1;H0YNX3	A5D8W6;B3KTM8;H0YLJ3;Q9UBU8;H0YMJ0;Q0VAE4;H0YM21	Mortality factor 4-like protein 1	MORF4L1	29.08525	29.22041	29.18766	28.8949	29.03157	29.13511	0.143910726	0.827603796
A5PL36;E7EST9;E7ESU0;B5MEG5;A0A024R2T9;O94966;A0A0A0MR08;B4DK86;H0YB23	A5PL36;E7EST9;E7ESU0;B5MEG5;A0A024R2T9;O94966	Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 19	USP19	23.51099	23.60761	23.57693	24.02437	24.04918	24.31465	-0.564224879	2.358760777
A5YKK6;B4DYL7;B3KPW6;H3BMZ2;B4DTM8;B7Z6X2;B3KS60;H3BVC9;H3BR89;H3BMH0;H3BNB1;H3BTH2;H3BT18;H3BU44	A5YKK6;B4DYL7	CCR4-NOT transcription complex subunit 1	CNOT1	27.86213	28.00753	27.81623	28.16447	28.35649	28.15702	-0.330697378	1.717634958
A5YM55;A0A024R8M9;B7Z8Y7;O94762;J3KTQ2;A0A024R8S8;B3KQK2;Q9BW80;Q8WYH5;J3QLU0;Q9BSD6;Q6FIC9;J3KSL7;J3KS37;J3KRM6;J3KSV9	A5YM55;A0A024R8M9;B7Z8Y7;O94762;J3KTQ2;A0A024R8S8;B3KQK2;Q9BW80	ATP-dependent DNA helicase Q5	RECQL5	25.95677	26.12945	26.23444	26.37338	26.01212	26.08389	-0.049578349	0.133368535
A6H8W8;A0A087WVF7;Q9NZM3;Q53TK4;E7EPJ2;Q8IWI5;Q6PJ79;F8W719;Q53TM3;H7BZD4;Q6J1T2;H0Y3G5	A6H8W8;A0A087WVF7;Q9NZM3;Q53TK4	Intersectin-2	ITSN2	24.95105	23.75011	24.36052	25.44158	25.19235	25.32985	-0.967367808	1.281135265
A6NC42	A6NC42	Developmental pluripotency-associated 5 protein	DPPA5	26.62561	27.01052	26.85293	26.79228	26.98163	27.02464	-0.103165309	0.31882832
A6NDG6;H3BV17	A6NDG6	Phosphoglycolate phosphatase	PGP	26.0005	26.22518	26.02407	25.98702	25.9245	25.99319	0.115011851	0.703432826
A6NDU8;A0A0C4DGW6	A6NDU8;A0A0C4DGW6	UPF0600 protein C5orf51	C5orf51	24.1145	24.80322	24.66014	23.03238	24.59514	23.40784	0.847499847	0.75550643
A6NEM2;Q05C05;B4DKE2;Q53FE7;Q9Y5Z7	A6NEM2		HCFC1	30.46548	30.49009	30.45415	30.30236	30.4186	30.207	0.160584768	1.215093978
A6NF51;V9HWF9;O95861;B7Z9J7;F8VVW8;F8VZG4;F8W1J0	A6NF51;V9HWF9;O95861;B7Z9J7	"3(2),5-bisphosphate nucleotidase 1"	BPNT1;HEL20	23.5998	23.40717	23.50288	23.54545	23.97404	23.52145	-0.177029928	0.490706798
A6NFX8;Q9UKK9;A6NCQ0;A6NJU6;H0YEY4;C9JYY9	A6NFX8;Q9UKK9;A6NCQ0;A6NJU6;H0YEY4	ADP-sugar pyrophosphatase	NUDT5	25.10221	25.39179	24.95642	24.80563	25.17874	24.89666	0.189799627	0.484951336
A6NH27;A0A024QZJ1;A0A024QZN5;O95229;B4DP12	A6NH27;A0A024QZJ1;A0A024QZN5;O95229;B4DP12	ZW10 interactor	ZWINT	23.86183	23.72203	23.94949	23.94842	23.84182	23.84843	-0.035106023	0.178646462
A6NHB5;Q14202;A6NHN7;A8K3Z7;A6NL54;A6NC58	A6NHB5;Q14202;A6NHN7	Zinc finger MYM-type protein 3	ZMYM3	29.53425	29.29518	29.29903	29.31025	29.16459	29.49463	0.052993139	0.160491114
A6NHQ2	A6NHQ2	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	25.12384	28.88102	26.05503	25.39888	25.0893	26.40568	1.055341721	0.368624192
A6NHR9;J3KTL8;J3QSH1;J3KRK8;J3KTK7	A6NHR9;J3KTL8	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	32.16426	31.96472	32.10927	31.93975	31.75007	31.89295	0.218491872	1.24447057
A6NIW2;Q5JSL3;A0A0J9YW64;B3KNP4;A0A0J9YXQ7	A6NIW2;Q5JSL3;A0A0J9YW64	Dedicator of cytokinesis protein 11	DOCK11	25.78813	25.80936	25.14985	25.97998	26.11448	26.30904	-0.552052816	1.097422225
A6NK02	A6NK02	Putative tripartite motif-containing protein 75	TRIM75P	27.18272	27.00217	27.07214	27.26132	27.08952	27.07337	-0.055725098	0.280844906
A6NK75	A6NK75	Zinc finger protein 98	ZNF98	25.99257	26.30906	25.96904	25.86406	25.8146	25.78838	0.267875036	1.126288817
A6NLH6;Q53HE6;Q9P003	A6NLH6;Q53HE6;Q9P003	Protein cornichon homolog 4	CNIH4	25.366	25.50261	25.94103	22.50014	22.18463	25.92825	2.065535863	0.786919978
A6NMQ3;Q5T5H1;O43768;A0A1W2PRU0	A6NMQ3;Q5T5H1;O43768;A0A1W2PRU0	Alpha-endosulfine	ENSA	27.29745	27.07806	27.32113	26.83195	26.90575	27.1795	0.25981458	0.92674712
A6NN14	A6NN14	Zinc finger protein 729	ZNF729	31.57484	31.35857	31.4732	31.43738	31.3472	31.13241	0.163204193	0.67404182
A7BI36;A0A0A0MRV0;Q9P2E9;A0A087WVV2;F8W7S5;A1A5C5;A0A087WU26;A2A2S5;Q32NB1	A7BI36;A0A0A0MRV0;Q9P2E9;A0A087WVV2;F8W7S5;A1A5C5	Ribosome-binding protein 1	RRBP1	28.2062	28.2055	27.83418	27.92037	28.24427	27.92541	0.051947276	0.115211752
A7E261;O14841;Q9HBQ9;A0A087WY99	A7E261;O14841	5-oxoprolinase	OPLAH	21.6252	21.48097	22.99939	22.0712	21.98057	21.56188	0.163969676	0.117281667
A7E2D6;A0A0A0MTL4;A0A0A0MTE8;Q8IVL1;A8K343;Q8IVL0	A7E2D6;A0A0A0MTL4;A0A0A0MTE8;Q8IVL1;A8K343	Neuron navigator 2	NAV2	22.79507	22.50615	22.39667	23.27952	23.39767	24.15638	-1.045228322	1.600719524
A7E2E1;Q9HBD4;P51532;Q59FZ6;B4DSI8;A5D6X0	A7E2E1;Q9HBD4;P51532;Q59FZ6;B4DSI8	Transcription activator BRG1	SMARCA4	31.45258	31.4346	31.55243	31.40811	31.27675	31.45288	0.100622813	0.715025268
A8CDT9;F8WE88;Q9Y4I1;A0A087WY00;G3V394;F8W6H6;Q59FF5;B4E147;E7ERV5;B5LY56;Q9UES3;O95318;Q9UES4;Q9UES5;O95317;G3V3C9	A8CDT9;F8WE88;Q9Y4I1;A0A087WY00;G3V394;F8W6H6;Q59FF5	Unconventional myosin-Va	MYO5A	27.59712	27.71083	27.56071	27.86071	28.15827	27.53044	-0.226921082	0.535488177
A8CG34;A0A075B7F8;A0A087WY75;B4DET5;A6NF01;C9JER0;C9J370;A0A0J9YWR1;Q6PJE2;C9JFL1;B4DDR5;A8MY32	A8CG34;A0A075B7F8;A0A087WY75	Nuclear envelope pore membrane protein POM 121C	POM121C	28.01191	27.77254	27.8918	27.62638	27.42045	27.79841	0.27699852	1.005324329
A8K031;O14777;Q05DQ6;I3L4G3;V9GYM9	A8K031;O14777;Q05DQ6	Kinetochore protein NDC80 homolog	KNTC2;NDC80	23.26285	23.94842	24.68121	23.74899	24.81817	25.55309	-0.742588679	0.485991612
A8K097;Q5JVF3;A0A024RE04;A0A024RDZ9	A8K097;Q5JVF3;A0A024RE04;A0A024RDZ9	PCI domain-containing protein 2	PCID2;RP11-98F14.6	28.73773	28.57239	28.61978	28.79051	28.71934	28.77847	-0.119472504	1.042091253
A8K0D5;Q9P0W2;A4IF61;K7EJR8;B5MDG7;C9JQA7;C9K049;C9J8X5	A8K0D5;Q9P0W2;A4IF61;K7EJR8;B5MDG7	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related	HMG20B	24.26163	24.32306	24.58692	24.60727	24.76233	24.79922	-0.332404455	1.342284944
A8K0M8;A0A024R099;Q6PGN9;Q5T2Z0;Q5T2Z1;S4R3S8	A8K0M8;A0A024R099;Q6PGN9;Q5T2Z0;Q5T2Z1	Proline/serine-rich coiled-coil protein 1	PSRC1	23.55004	24.64486	23.51509	23.87014	23.47741	23.82026	0.180724462	0.175304087
A8K0P8;Q68CQ4;B3KVX2;H7C2R4	A8K0P8;Q68CQ4	Digestive organ expansion factor homolog	DIEXF	29.45176	29.33735	29.53797	29.50737	29.33518	29.37532	0.03640302	0.17721637
A8K179;A0A024R2F3;Q93075;H7C1W4;H7BZJ2	A8K179;A0A024R2F3;Q93075;H7C1W4	Putative deoxyribonuclease TATDN2	TATDN2	24.07382	23.20647	23.84211	23.76071	23.6782	24.33183	-0.216114044	0.26022431
A8K180;O00401;A4D0Y1;Q68DE4	A8K180;O00401;A4D0Y1	Neural Wiskott-Aldrich syndrome protein	WASL	26.51701	26.89516	26.72455	26.77568	27.13555	26.50611	-0.09353892	0.165783893
A8K1E1;P20585	A8K1E1;P20585	DNA mismatch repair protein Msh3	MSH3	27.68992	27.60442	27.62902	27.83882	27.64924	27.57658	-0.047092438	0.223758779
A8K287;O00161;A0A024R9R8;H3BNE1;H3BR18;H3BM38;H3BPJ0;H3BV99;H3BP15;H3BQY9;H3BNG6;H3BU94;H3BR99	A8K287;O00161;A0A024R9R8;H3BNE1;H3BR18;H3BM38;H3BPJ0	Synaptosomal-associated protein;Synaptosomal-associated protein 23	SNAP23	24.42342	24.80858	24.3841	24.43135	24.95704	24.44998	-0.074090958	0.123656366
A8K2I7;A0A024R7I0;O14908;A0A024R7I1;K7EM11;K7ESN1;K7ELJ2;Q8TF64	A8K2I7;A0A024R7I0;O14908;A0A024R7I1;K7EM11	PDZ domain-containing protein GIPC1	GIPC1	26.81238	26.27306	26.2973	26.42297	26.41277	26.43801	0.036322912	0.072324399
A8K2M0;P43686	A8K2M0;P43686	26S protease regulatory subunit 6B	PSMC4	28.01393	28.2454	27.80931	27.90495	28.16863	27.76459	0.07682546	0.167628786
A8K2S7;A0A024RE02;Q8NBM4;X6R5E5;B7Z6T7;B3KW74;Q5JUH4	A8K2S7;A0A024RE02;Q8NBM4;X6R5E5;B7Z6T7;B3KW74	Ubiquitin-associated domain-containing protein 2	PHGDHL1;UBAC2	24.49601	24.77379	24.80622	24.16507	24.43027	24.37139	0.369762421	1.35934197
A8K2T9;E9KL37;O75665;A6NF31;B4DLQ3;A0A0A0MS89;Q4VAK3;A8K0W2;Q6P668;Q7Z7F6;Q4G0Q0	A8K2T9;E9KL37;O75665;A6NF31;B4DLQ3;A0A0A0MS89;Q4VAK3	Oral-facial-digital syndrome 1 protein	OFD1	24.21519	24.57848	24.29719	24.84666	24.40912	24.51743	-0.22744751	0.592761006
A8K2U2;P52789;Q53QX9;Q53SG7;Q7Z7Q6;Q09LL6;A0A024R7R1;Q59H08;P52790	A8K2U2;P52789;Q53QX9	Hexokinase;Hexokinase-2	HK2	27.87062	27.9073	27.70523	27.86443	28.14039	28.04531	-0.188992182	0.861184897
A8K330;Q8IWA0;F8WE20;F8WC81;Q05D27	A8K330;Q8IWA0	WD repeat-containing protein 75	WDR75	30.64315	30.69387	30.66399	30.64177	30.61149	30.64796	0.033262253	0.832135664
A8K359;P19447;G3V1S1;B3KRG2;Q53HW5;B3KTH1;H7C309;B4DTK4	A8K359;P19447;G3V1S1;B3KRG2;Q53HW5;B3KTH1	TFIIH basal transcription factor complex helicase XPB subunit	ERCC3	28.83099	28.77316	28.69309	28.53631	28.55054	28.62554	0.194948832	1.795621538
A8K394	A8K394			25.2505	25.70707	26.35187	24.74047	24.30835	26.61989	0.546909968	0.283236005
A8K3C5;O95232;Q86Y74;J3KPP4;Q6PKC2;B4DJ96;D6RDI2;C9JL41;D6RHH0;H7C5U7;U3KQT3;E7EN55	A8K3C5;O95232;Q86Y74;J3KPP4;Q6PKC2;B4DJ96	Luc7-like protein 3	LUC7L3;CROP	30.68696	30.56265	30.70652	30.63824	30.4008	30.65898	0.086037318	0.383958651
A8K3D4;Q96NJ6	A8K3D4;Q96NJ6	Zinc finger protein 3 homolog	ZFP3	23.71565	23.93562	23.7082	23.65567	23.50069	23.77846	0.141547521	0.574643519
A8K3J8;A0A024R6X0;P55042;J3KRG9;J3KSM6;Q92788	A8K3J8;A0A024R6X0;P55042;J3KRG9;J3KSM6;Q92788	GTP-binding protein RAD	RRAD	23.82658	21.84893	24.80805	23.88008	24.21549	23.68966	-0.43388621	0.187657173
A8K3N2;G3V4A5;A0A087WYL7;O75586	A8K3N2;G3V4A5;A0A087WYL7;O75586	Mediator of RNA polymerase II transcription subunit 6	MED6	23.97727	24.53677	24.38403	24.28341	24.72905	24.45526	-0.189880371	0.376769096
A8K3S0;P40937;Q6LES9;Q59GW7;A8K4Z2;C9JH72;F5H5S0;F5H0U6;E9PEP3;F5H304	A8K3S0;P40937;Q6LES9;Q59GW7;A8K4Z2	Replication factor C subunit 5	RFC5	28.28193	28.67475	28.30821	28.4661	28.64344	28.01786	0.045829773	0.071251758
A8K3T5;Q9P2Y4;G3V2Q8;G3V452;G3V2W3;G3V2E3;G3V4M7;G3V3F2	A8K3T5;Q9P2Y4	Zinc finger protein 219	ZNF219	22.95131	21.54482	21.31113	22.32503	23.03907	22.4543	-0.670383453	0.529622432
A8K3X3;Q9H410;Q4G1A1;Q5JW54;Q5JW53;Q5JW57	A8K3X3;Q9H410;Q4G1A1;Q5JW54;Q5JW53	Kinetochore-associated protein DSN1 homolog	DSN1	25.86781	26.07255	26.02699	26.15234	25.83856	25.7603	0.072047551	0.206478322
A8K3Y2;P52564;B5BU16;A0A024R8K3;K7EIW3;Q6MZH7;A0A0A0MRF7;K7ELM6	A8K3Y2;P52564;B5BU16;A0A024R8K3	Dual specificity mitogen-activated protein kinase kinase 6	MAP2K6	21.2886	23.40155	23.49619	24.39852	24.08545	24.27419	-1.523944855	0.983502154
