Accession	naive_primed	primed_primed2i	naive_naive2i
AC068620.2	0.80344634	0.32671459	0.954413007
AC068620.3	0.927687388	0.27038293	0.484327119
AC068631.1	0.053892529	0.92340734	0.200042548
AC068669.1	0.036023683	0.350488398	0.344174378
AC068768.1	0.257677511	0.286838003	0.556899935
AC068790.3	0.364853172	0.595909308	0.865855867
AC068831.1	0.331657772	0.224681325	0.350870331
AC068831.7	0.872555765	0.273108379	0.000126841
AC068870.2	0.397087101	0.721951555	0.674768759
AC068888.1	1.29E-06	0.194658401	0.371007008
AC068888.2	0.816794068	0.83623097	0.620335773
AC068896.1	0.980243869	0.522909564	0.389203852
AC068946.2	0.826001486	0.569589923	0.250641551
AC068987.3	0.500151188	0.775117803	0.285350791
AC069213.3	0.701085427	0.125207002	0.304200405
AC069218.1	0.071859156	0.342361933	0.37538726
AC069222.1	0.033482121	0.349525707	0.101490351
AC069234.5	0.678387616	0.451142919	0.87376975
AC069236.1	0.397773353	0.363126395	0.391093999
AC069277.1	0.001300291	0.572323517	0.094152035
AC069281.2	0.378095287	0.433657687	0.62178809
AC069282.1	3.66E-07	0.977457403	0.272502418
AC069307.1	0.210935547	0.681402608	0.679900536
AC069499.1	0.099030594	0.824590444	0.734670115
AC069544.1	0.056899737	0.985571981	0.288337238
AC069547.1	0.662873857	0.374757493	0.882390431
AC069547.2	0.800938776	0.90331182	0.613487404
AC069549.1	0.061661495	0.744763003	0.209596743
AC069549.2	0.25540319	0.638101278	0.906709604
AC072022.2	0.007656714	0.919914846	0.978757747
AC072028.1	0.013984297	0.634977538	0.154972449
AC072052.1	0.006143688	0.33607688	0.783488936
AC072054.1	0.996518215	0.554181625	0.873904744
AC072061.1	0.616623731	0.801705253	0.66334414
AC073046.1	0.001561904	0.578538554	0.85948145
AC073046.3	0.256204022	0.281604428	0.947070398
AC073046.4	0.200413084	0.535279936	0.170139215
AC073052.1	0.69182294	0.318209054	0.553713369
AC073063.1	0.997872146	0.084072757	0.342903901
AC073073.1	0.395323878	0.970827633	0.991731451
AC073073.2	0.317296798	0.359638419	0.826691855
AC073107.1	0.541857296	0.496624214	0.80619559
AC073111.1	0.192773144	0.686302788	0.842617914
AC073111.4	3.04E-11	0.28410376	0.988067
AC073130.2	0.757048972	0.742866271	0.545285292
AC073136.1	0.40211552	0.69261747	0.915538734
AC073195.1	0.250488969	0.985089888	0.530560693
AC073210.3	0.074512917	0.555336138	0.947705647
AC073254.1	0.039421067	0.671429174	0.904168904
AC073263.1	0.095042537	0.615722506	0.083235953
AC073321.1	0.773020994	0.606663561	0.330330904
AC073333.1	0.630762751	0.884767752	0.446411694
AC073335.1	0.750710807	0.702717119	0.472069291
AC073343.1	0.05154188	0.960748212	0.516871034
AC073343.2	0.415391983	0.624465289	0.988553216
AC073349.2	3.81E-07	0.009094006	0.577140388
AC073349.4	0.010549889	0.765138657	0.813101008
AC073352.1	0.887558814	0.939521739	0.731451405
AC073367.1	0.505509991	0.440062311	0.857118534
AC073389.1	0.136782387	0.761027111	0.616835341
AC073389.2	0.940726587	0.786962657	0.788462367
AC073389.3	0.115752086	0.832056031	0.753146878
AC073410.1	0.359714946	0.902458549	0.822513462
AC073415.1	0.673389324	0.878857286	0.672753629
AC073439.1	0.083377305	0.093430684	0.508121043
AC073476.1	0.945652771	0.390695017	0.364052712
AC073476.3	0.220362461	0.307684114	0.717835415
AC073487.1	0.447960498	0.417707957	0.453288371
AC073508.3	0.026363296	0.894157765	0.804642705
AC073517.1	0.357397522	0.539341994	0.555002733
AC073529.1	0.31644856	0.354661481	0.997406665
AC073534.2	0.043942214	0.348889997	0.09643724
AC073548.1	0.463603378	0.55656768	0.549671667
AC073548.2	0.098130088	0.562501687	0.548238488
AC073575.2	0.264547165	0.760757354	0.829815314
AC073593.2	0.942036747	0.995267237	0.77207278
AC073610.1	0.717805132	0.91575003	0.924756892
AC073611.1	0.664996711	0.826890932	0.187834054
AC073611.2	0.85155096	0.563556255	0.21465943
AC073655.2	0.249831508	0.872650787	0.479244905
AC073657.2	0.193349084	0.583180655	0.715335207
AC073842.2	0.095588219	0.644401677	0.650185661
AC073857.1	0.137656669	0.83580361	0.794419539
AC073861.1	0.116564984	0.76487143	0.024641643
AC073869.1	0.052527662	0.182266551	0.922270858
AC073896.2	0.222677492	0.346184659	0.283426199
AC073896.3	0.144458145	0.762201215	0.22114157
AC073896.4	0.463654955	0.021754844	0.630853144
AC073896.5	0.695181265	0.484877606	0.529442524
AC073912.1	0.023223636	0.392802904	0.780855738
AC073912.2	0.135185418	0.803813534	0.386744401
AC073957.3	3.50E-06	0.293882843	0.085371538
AC074032.1	0.845867677	0.739055884	0.093961776
AC074051.4	0.546933236	0.040722941	0.584863892
AC074051.5	0.008222586	0.792549869	0.859028436
AC074085.2	0.962059464	0.923662967	0.692243833
AC074117.1	0.154977771	0.492057236	0.842987628
AC074117.2	0.167187189	0.222883091	0.136320777
AC074135.1	9.36E-10	0.974907608	0.21569616
AC074138.1	0.495551103	0.168159665	0.272171264
AC074141.1	0.001517035	0.050711933	0.783713486
AC074143.1	0.000510724	0.482763067	0.378084736
AC074194.2	0.076943173	0.911388847	0.712202965
AC074212.1	0.699590196	0.813962152	0.580574287
AC074286.1	0.395884708	0.927960764	0.073701374
AC074366.1	0.850676545	0.825947766	0.67594075
AC078785.1	0.876506022	0.500415885	0.338525906
AC078795.1	0.335732545	0.797946259	0.635034301
AC078802.1	0.552542469	0.188442738	0.91631702
AC078817.1	0.526536328	0.391732733	0.868829128
AC078846.1	0.003051925	0.797002737	0.759798199
AC078852.1	0.123981396	0.803165855	0.451500126
AC078852.2	0.182311481	0.819001769	0.397108568
AC078881.1	4.33E-18	0.977683406	0.549866492
AC078883.1	2.03E-34	0.999185528	0.149591708
AC078899.1	0.123928191	0.667172351	0.107563517
AC078905.1	0.486135068	0.386123047	0.649792745
AC078983.1	0.002709757	0.76006656	0.532626868
AC079052.1	0.834002009	0.239564264	0.577352203
AC079140.1	0.813607818	0.837601013	0.595054355
AC079140.2	0.961005088	0.707629182	0.272181258
AC079140.3	7.94E-24	0.673084748	0.914179451
AC079142.1	0.738450016	0.912863318	0.419543691
AC079145.1	0.000168609	0.413379019	0.863064322
AC079148.1	0.253364002	0.376739509	0.007894387
AC079160.1	0.552613916	0.498610786	0.192617958
AC079174.2	0.102426297	0.288954538	0.861924846
AC079203.1	0.840107201	0.796089137	0.868121406
AC079210.1	0.58353065	0.114522648	0.689627431
AC079250.1	0.915396354	0.769238956	0.284092924
AC079296.1	0.003135932	0.758623314	0.838191965
AC079305.1	0.985741798	0.900489724	0.579460362
AC079305.3	0.045895302	0.267617935	0.148352593
AC079331.1	0.351712838	0.485793677	0.418715332
AC079331.2	0.083580878	0.987033123	0.980237516
AC079331.3	0.302143992	0.839744839	0.404155728
AC079336.2	0.865147398	0.784561067	0.66066768
AC079414.3	7.84E-06	0.103955503	0.178473591
AC079416.1	0.006915454	0.684387229	0.508710625
AC079416.2	0.888463407	0.917340081	0.497662923
AC079447.1	0.778712767	0.416530865	0.737584031
AC079601.1	0.308035138	0.964278334	0.142565909
AC079601.2	0.116981306	0.814628924	0.315764209
AC079684.1	0.057443684	0.994455192	0.179233655
AC079753.1	0.367257437	0.42289718	0.948794098
AC079781.5	0.237314816	0.343713259	0.182382025
AC079807.1	0.969594089	0.607702586	0.264074088
AC079841.2	0.916121597	0.917040926	0.629695859
AC079848.1	0.625035486	0.917130809	0.842411586
AC079907.1	0.262538115	0.260327862	0.61704823
AC079921.1	0.381941701	0.926277205	0.939337696
AC079922.2	0.001586252	0.513040139	0.464631585
AC079944.2	0.135267786	0.571355055	0.230623485
AC080013.1	0.433896951	0.307980597	0.925938629
AC080013.4	0.391009544	0.73356406	0.454708516
AC080013.6	0.046341828	0.308838227	0.436815062
AC080014.1	0.297363744	0.695476859	0.57035675
AC080038.1	1.67E-19	0.006158567	0.003613962
AC080038.2	0.656437543	0.136202065	0.380147511
AC080038.4	0.158691331	0.322413744	0.937657977
AC080079.2	0.949201692	0.745523076	0.185034866
AC080080.1	0.33132214	0.668497908	0.929893403
AC080112.1	0.948319742	0.401925353	0.106872324
AC080112.3	0.141402821	0.626208037	0.425963399
AC080162.1	0.998155113	0.902713012	0.327856478
AC083798.1	0.238200108	0.189522136	0.979873438
AC083798.2	0.441934266	0.37572261	0.574346614
AC083799.1	7.90E-10	0.95663585	0.139174799
AC083805.2	0.109648065	0.645268681	0.401318595
AC083806.2	0.935409486	0.289086114	0.951101994
AC083806.3	0.55095792	0.507674938	0.726249387
AC083843.3	0.05995091	0.727712166	0.653784906
AC083862.2	0.315077888	0.928450267	0.139586166
AC083862.3	0.401647168	0.349642621	0.951667775
AC083870.1	0.897755144	0.829111685	0.511156727
AC083873.1	0.516552	0.494143245	0.784258619
AC083880.1	0.40321665	0.911207273	0.714413425
AC083899.1	0.010263107	0.926741924	0.862355129
AC083964.1	9.90E-05	0.217855938	0.293881719
AC083964.2	0.000116749	0.540308219	0.493557943
AC084018.1	0.887376915	0.975841308	0.349449561
AC084018.2	0.215691425	0.817050585	0.286372988
AC084024.4	0.634476046	0.68912234	0.858181967
AC084036.1	0.508624259	0.254138375	0.829433208
AC084082.1	0.881860679	0.803066909	0.61346121
AC084083.1	0.580389336	0.703671229	0.382272528
AC084125.2	0.000119888	0.19671136	0.198808759
AC084198.2	6.75E-93	0.387997952	0.128372372
AC084335.1	0.101003111	0.235313702	0.188052379
AC084337.1	6.19E-07	0.354593054	0.773735515
AC084357.2	0.297587378	0.950154392	0.284966652
AC084375.1	2.31E-75	0.820364914	0.180665145
AC084724.1	0.464932275	0.077799867	0.979008442
AC084757.1	0.051419734	0.739783399	0.222978572
AC084757.2	0.623956403	0.347562528	0.630208087
AC084757.4	0.250331856	0.718555433	0.956767501
AC084783.1	0.139275684	0.977281012	0.621342539
AC084824.1	0.715808285	0.267708777	0.298171686
AC084824.3	0.225494122	0.985250989	0.281168084
AC084824.4	0.209452385	0.03423383	0.48545198
AC084824.5	0.165882136	0.696028406	0.46714351
AC084864.1	0.710786211	0.332186521	0.840795578
AC084864.2	1.05E-08	0.775262486	0.188329477
AC084880.1	0.446566532	0.319969578	0.137483295
AC087071.2	0.311554177	0.694915038	0.236040788
AC087163.2	0.685489636	0.805649253	0.187012269
AC087163.3	0.555253131	0.366261031	0.863509861
AC087164.2	0.151239846	0.563094054	0.21051343
AC087175.1	0.491278668	0.741320148	0.90778481
AC087222.1	0.406805325	0.558212992	0.906874146
AC087239.1	0.978053161	0.620172973	0.803297337
AC087257.1	0.198656217	0.949323306	0.646498735
AC087276.1	0.014973414	0.6452177	0.604666834
AC087276.2	0.213877795	0.392787392	0.997010048
AC087280.2	0.603050494	0.705866773	0.466360516
AC087283.1	0.58769824	0.469036334	0.845032026
AC087284.1	0.889035341	0.672402194	0.745520657
AC087289.1	0.00683449	0.959991285	0.50049976
AC087289.2	0.485036784	0.682865568	0.912990852
AC087289.3	0.203106003	0.782023141	0.747608884
AC087294.1	0.775437311	0.190815706	0.395993005
AC087301.1	0.49500154	0.648854539	0.043709614
AC087343.1	0.092052747	0.430241525	0.766648922
AC087392.1	0.311693529	0.797487039	0.063166941
AC087392.2	6.17E-06	0.829737074	0.89328444
AC087392.3	0.194863636	0.169110301	0.236022886
AC087392.4	0.555187561	0.19545176	0.602284402
AC087392.5	0.104396298	0.611411701	0.908486808
AC087482.1	0.846077682	0.344363202	0.214326259
AC087500.1	0.072435885	0.995812059	0.434493422
AC087501.4	0.038185511	0.58946159	0.782678154
AC087521.2	1.43E-06	0.672265963	0.827659775
AC087533.1	0.485772836	0.557949672	0.928080296
AC087588.2	0.677335962	0.46199556	0.462466395
AC087620.1	0.293773097	0.362370505	0.393281423
AC087623.1	2.29E-16	0.842169544	0.490684968
AC087623.2	0.098359664	0.441666749	0.274472873
AC087633.2	0.554094112	0.850365313	0.197730348
AC087651.1	3.59E-05	0.43004209	0.706899123
AC087683.2	0.074526667	0.304157562	0.111121225
AC087721.1	0.226589545	0.101827329	0.520349699
AC087741.1	0.112824766	0.34490099	0.328835795
AC087741.2	0.083273733	0.664687638	0.794744951
AC087741.3	0.835570955	0.136827885	0.155036461
AC087742.1	0.648051426	0.77503274	0.884124582
AC087752.3	0.613003158	0.164059134	0.781019493
AC087783.2	3.91E-09	0.528775134	0.796854247
AC087854.1	0.011972961	0.021706134	0.717606907
AC089984.2	0.9252702	0.384052596	0.581361264
AC089999.2	0.437364268	0.930079931	0.318714664
AC090004.1	0.399360459	0.649939574	0.639562301
AC090004.2	0.041339154	0.255421419	0.684657677
AC090015.1	0.009167649	0.468208828	0.168279303
AC090018.2	0.553857576	0.741721352	0.173130874
AC090061.1	0.374821314	0.411512509	0.70095292
AC090114.1	0.555985559	0.450129583	0.515560625
AC090114.2	0.092302511	0.684906621	0.570230472
AC090114.3	0.852930377	0.108576278	0.47684841
AC090152.1	2.87E-10	0.348458251	0.737691279
AC090164.5	0.137353473	0.445691249	0.959878122
AC090181.2	0.730173326	0.810000807	0.844702781
AC090181.3	0.228423785	0.409736035	0.855487044
AC090198.1	0.803201179	0.004869037	0.231974125
AC090204.1	2.21E-16	0.846490324	0.004042603
AC090241.2	0.525777307	0.441744176	0.850630827
AC090241.3	0.441038079	0.920672921	0.980453828
AC090282.1	0.768135905	0.275906542	0.740510771
AC090286.2	0.577810622	0.994479325	0.87106184
AC090360.1	0.062397709	0.284445146	0.637643912
AC090398.2	8.37E-05	0.660013825	0.306532134
AC090425.1	0.272253232	0.895614436	0.470480506
AC090425.2	0.210941217	0.876134232	0.685544842
AC090510.2	0.528252714	0.166740893	0.873153625
AC090510.4	0.688297764	0.424949982	0.943037265
AC090515.1	0.820200957	0.647650502	0.94974532
AC090515.2	0.7243171	0.549087637	0.508231567
AC090515.4	6.72E-10	0.981307831	0.039257433
AC090515.5	0.142982565	0.168553179	0.783591415
AC090517.5	0.1449953	0.433018503	0.502020575
AC090519.1	0.217140301	0.267654462	0.490814701
AC090519.2	0.671053336	0.45775162	0.854231266
AC090578.1	9.06E-07	0.417085186	0.311139284
AC090587.1	0.731459549	0.073234695	0.962898704
AC090587.2	0.358186077	0.792733709	0.490805556
AC090589.3	0.967065188	0.8067013	0.806314381
AC090607.1	0.053763384	0.469930218	0.16984783
AC090607.2	0.63759624	0.370065156	0.782783637
AC090616.2	1.41E-09	0.098560071	0.338984054
AC090616.6	0.195394875	0.126650741	0.441490097
AC090617.5	0.436948666	0.763330213	0.24181137
AC090686.1	0.696173902	0.547712654	0.715888695
AC090695.1	0.599667469	0.418662967	0.873691882
AC090739.1	0.991359146	0.75691968	0.202517315
AC090772.3	0.520313987	0.76595252	0.393909113
AC090825.1	0.010980916	0.431742	0.847418166
AC090826.1	0.921338004	0.918008559	0.378032212
AC090826.3	0.53093455	0.923813733	0.185818879
AC090907.2	0.000174313	0.13192427	0.396159107
AC090907.3	0.897061632	0.723923188	0.67691424
AC090945.1	0.818147629	0.7450211	0.757623308
AC090946.1	0.167224972	0.312892807	0.663774838
AC090948.1	0.255714374	0.93230902	0.804431697
AC090948.2	0.146844451	0.364128755	0.822908373
AC090948.3	0.288883538	0.236416604	0.84225216
AC090948.4	0.594342103	0.922056011	0.726830556
AC090950.2	0.885179002	0.990473389	0.966326602
AC090970.2	0.031795102	0.2057869	0.681908529
AC090971.3	2.73E-21	0.260704524	0.474179767
AC090971.4	0.233495806	0.747808377	0.671059446
AC090983.1	0.885094135	0.363441029	0.790537068
AC090983.2	0.25894768	0.600553695	0.341739998
AC091021.1	0.010773888	0.205619753	0.864612152
AC091045.1	0.010665827	0.597912132	0.294192264
AC091057.1	0.998847925	0.823957321	0.334802747
AC091060.1	0.733761322	0.983467336	0.64764928
AC091078.1	0.916965498	0.983032636	0.457178838
AC091133.2	0.006697681	0.713544136	0.738774228
AC091133.4	0.061364474	0.515644259	0.752502689
AC091133.5	0.416962005	0.440436565	0.769193314
AC091152.2	0.867739648	0.979242904	0.670092118
AC091152.4	0.029008697	0.99258397	0.089571248
AC091153.1	0.752279135	0.490472552	0.824563118
AC091153.3	0.023769672	0.334381101	0.874345689
AC091178.2	0.00078953	0.933718831	0.471238932
AC091181.1	0.031892605	0.454044743	0.837732806
AC091185.1	0.029096327	0.493525648	0.363810092
AC091196.1	0.958021799	0.277674155	0.591769128
AC091271.1	8.63E-05	0.503749402	0.951381419
AC091390.3	0.27597805	0.769164684	0.411349769
AC091429.1	0.485500249	0.495614372	0.16715991
AC091516.1	0.924500987	0.545176889	0.815007358
AC091544.2	0.500411048	0.882948567	0.979873438
AC091544.4	0.086691847	0.045967814	0.877463586
AC091563.1	6.61E-34	0.285696378	0.221843979
AC091564.5	0.005697463	0.604476483	0.865855867
AC091607.2	0.012124847	0.640612294	0.511983987
AC091614.2	0.699264871	0.772997887	0.182175355
AC091729.3	0.089488236	0.096441796	0.518963068
AC091806.1	0.217142392	0.994164218	0.443896641
AC091820.1	0.002723237	0.308593197	0.758697714
AC091825.1	0.051895081	0.491616656	0.515367166
AC091978.1	0.648037471	0.60527351	0.855346643
AC091982.3	0.071308177	0.311555045	0.528720012
AC092017.1	0.271474239	0.737711966	0.400486344
AC092042.3	0.508539732	0.322234838	0.551134419
AC092045.1	0.143519551	0.572296147	0.903287179
AC092053.2	0.981088374	0.208507848	0.745584243
AC092053.3	0.001675911	0.993364826	0.496270252
AC092053.4	0.54292556	0.597856464	0.736656613
AC092068.3	0.341328989	0.957498128	0.863331092
AC092070.2	5.63E-54	0.16387173	0.097830806
AC092072.1	0.63560948	0.715707705	0.633291984
AC092115.1	0.140378202	0.731042484	0.769603343
AC092117.1	2.93E-09	0.302746363	0.613173552
AC092117.2	0.137406253	0.964041691	0.507857964
AC092120.3	0.18837478	0.070122089	0.935643284
AC092123.1	0.065238494	0.612526834	0.231868042
AC092135.3	0.726677206	0.894774283	0.597257814
AC092139.1	0.061671688	0.769044507	0.546505378
AC092139.3	0.53468591	0.66334425	0.564809162
AC092140.2	0.577324516	0.468898392	0.574987689
AC092143.3	0.740557034	0.963464434	0.443871691
AC092159.2	0.147644958	0.54844762	0.386192844
AC092159.4	0.483113492	0.390887419	0.402526584
AC092161.1	3.09E-124	0.310129168	0.387557614
AC092164.1	0.716490439	0.364190197	0.824040338
AC092171.3	0.908859684	0.772580803	0.86198999
AC092171.4	0.653835946	0.420489669	0.432831549
AC092171.5	0.544992678	0.106397507	0.318826126
AC092275.1	0.005180677	0.397392624	0.675536437
AC092279.1	0.023400169	0.451065478	0.79105315
AC092279.2	0.440096652	0.696082035	0.230626439
AC092287.1	0.98331473	0.302993689	0.84286945
AC092295.1	0.118873462	0.710484326	0.479937319
AC092295.2	0.006750826	0.574845721	0.251113853
AC092296.2	1.62E-20	0.855653346	0.069750792
AC092301.1	0.911255387	0.352009901	0.382249918
AC092306.1	0.028412883	0.432102615	0.742607108
AC092329.4	0.485919747	0.946711157	0.068612386
AC092338.1	0.859715266	0.642643522	0.552740052
AC092354.1	0.675161594	0.693505698	0.954210199
AC092354.2	0.51781414	0.478172091	0.025908737
AC092368.3	0.01269688	0.491382732	0.789239345
AC092384.3	0.032263676	0.753002378	0.149146691
AC092418.2	0.882535934	0.803253285	0.780753005
AC092427.1	0.734736301	0.749498857	0.934256671
AC092428.1	0.34924855	0.607240267	0.497461934
AC092437.1	0.065028683	0.563708052	0.338166476
AC092447.2	0.322284167	0.233727764	0.662223568
AC092490.1	1.61E-162	0.086118937	0.166973399
AC092506.1	0.978781956	0.332186521	0.057657937
AC092535.1	0.040087465	0.63876665	0.484439784
AC092535.2	0.038257889	0.845143908	0.861608871
AC092535.3	0.352054845	0.33966569	0.599778716
AC092535.4	0.153895195	0.516045733	0.750781101
AC092574.2	0.28211581	0.836380352	0.711356224
AC092597.1	0.061262765	0.681568137	0.885859746
AC092611.1	0.649592528	0.665560593	0.04392425
AC092614.1	0.254317971	0.673185262	0.627127344
AC092645.2	0.573571248	0.628267554	0.653901938
AC092650.1	0.162414774	0.762872596	0.498950942
AC092653.1	0.91721224	0.693556716	0.621582805
AC092656.1	0.005954075	0.470153601	0.275053523
AC092658.1	0.587481822	0.483414114	0.733924785
AC092669.1	0.487397516	0.915510625	0.874827302
AC092685.1	1.01E-14	0.396101346	0.772067797
AC092687.3	0.356044383	0.853977861	0.592878272
AC092692.1	0.002884955	0.27884174	0.760001976
AC092718.1	0.531760757	0.183661506	0.318114789
AC092718.2	0.62875615	0.49132792	0.632046381
AC092718.3	0.165447711	0.872504816	0.761400963
AC092718.4	0.20943623	0.544558667	0.352095403
AC092718.5	0.904325132	0.270189466	0.617890175
AC092718.6	0.991768206	0.798632748	0.907443838
AC092718.7	0.588999609	0.996168005	0.916854387
AC092718.8	0.825816695	0.421199306	0.327873366
AC092720.1	0.8469521	0.792612981	0.234016075
AC092724.1	0.002883183	0.032908731	0.732300281
AC092745.4	0.340604727	0.93287283	0.887420144
AC092745.5	0.88726709	0.366363258	0.930412049
AC092747.2	0.154594533	0.762881577	0.633080068
AC092747.4	0.000393327	0.458802758	0.170461616
AC092757.3	0.715792598	0.973281575	0.917736936
AC092794.1	0.565002724	0.376431559	0.938305823
AC092798.1	0.81710267	0.979438099	0.88159885
AC092801.1	0.877663019	0.655601904	0.288372019
AC092802.2	0.010994318	0.212976183	0.830931345
AC092803.2	0.416205977	0.443293013	0.940032067
AC092809.4	0.669171197	0.801429016	0.949053261
AC092811.1	0.023489843	0.247503377	0.589056711
AC092821.1	0.614796287	0.794798748	0.048534465
AC092821.3	0.079784908	0.727698053	0.75892009
AC092828.1	0.002529753	0.709539146	0.983622701
AC092835.1	0.081334161	0.369224351	0.581711861
AC092849.3	0.476270989	0.268990144	0.847230216
AC092865.1	0.805083241	0.494934676	0.340078606
AC092881.1	2.48E-06	0.520289589	0.631002336
AC092881.2	2.28E-05	0.718824591	0.459841263
AC092894.1	0.863354166	0.181387044	0.713158856
AC092896.1	0.553183662	0.159347455	0.688227482
AC092903.2	0.924031642	0.867965138	0.421938753
AC092910.3	0.007076453	0.8339197	0.138710759
AC092944.1	0.118713116	0.676526903	0.473877688
AC092953.2	0.77269188	0.387184089	0.817845543
AC092964.1	0.817609695	0.907610571	0.604104972
AC092969.1	3.29E-13	0.609547433	0.522618001
AC093110.1	0.498234582	0.535673216	0.440524004
AC093155.2	0.877663019	0.395908797	0.913408021
AC093157.1	0.000404447	0.634922572	0.991964136
AC093157.2	0.20191214	0.230816729	0.586547512
AC093162.2	0.339585111	0.882372507	0.968925305
AC093227.1	0.194844011	0.793929598	0.334448541
AC093227.3	0.179374078	0.959015486	0.683379988
AC093249.2	0.652398003	0.696217909	0.925813308
AC093249.4	0.837146083	0.575002263	0.975315591
AC093249.6	0.633391291	0.88302963	0.273047947
AC093297.2	0.010922009	0.937230677	0.655967991
AC093323.1	0.829170062	0.952216802	0.586318124
AC093390.1	0.024367048	0.137022276	0.82020386
AC093422.1	0.659869065	0.500363176	0.383768618
AC093425.1	0.000206774	0.272895355	0.854375873
AC093462.1	0.299819245	0.874446416	0.780817751
AC093484.2	0.506661425	0.443534629	0.719818996
AC093484.4	0.000131475	0.990688376	0.451887977
AC093495.1	0.13180383	0.966091376	0.481541084
AC093503.4	0.012225254	0.755283911	0.284904071
AC093510.2	0.954451296	0.695645105	0.134329891
AC093512.2	0.978171777	0.6726593	0.635996331
AC093525.6	0.8209727	0.519222533	0.436751942
AC093525.8	0.001695239	0.496336706	0.298633572
AC093525.9	0.831674113	0.389351103	0.592823612
AC093535.2	0.932750497	0.674752082	0.226008473
AC093536.1	0.075862752	0.754104053	0.269430667
AC093591.1	0.216300275	0.521538374	0.660877737
AC093591.2	0.442325774	0.377370628	0.978175053
AC093591.3	0.94881834	0.571753705	0.940026315
AC093599.2	0.058308065	0.707051614	0.137342927
AC093673.1	3.02E-05	0.000156712	0.125565908
AC093675.1	0.155358306	0.332186521	0.95291599
AC093690.1	0.237624144	0.912732382	0.638969258
AC093700.1	0.627230732	0.423834881	0.937956647
AC093726.2	0.077533252	0.793847724	0.821040971
AC093752.1	0.27079473	0.546302468	0.628939636
AC093788.1	0.018505138	0.608792234	0.364048551
AC093827.1	0.096309689	0.231271393	0.580360672
AC093827.3	0.854250592	0.062327805	0.550630251
AC093827.4	0.625588665	0.744411154	0.950534587
AC093840.1	0.675998724	0.774393604	0.672135427
AC093849.2	0.001505258	0.360933479	0.739962619
AC093864.1	0.808049996	0.394503781	0.650236506
AC093866.1	0.023895376	0.731417239	0.553469087
AC093879.1	0.607874514	0.719264302	0.155669094
AC093895.1	0.793285755	0.412773068	0.132820014
AC093909.1	0.760597505	0.95123381	0.830257443
AC093909.6	0.311067579	0.076116991	0.177482895
AC095055.1	0.133774849	0.28805828	0.979155508
AC095057.3	0.931080889	0.931681157	0.993103518
AC095059.2	0.39278854	0.275820854	0.325092321
AC096533.1	0.987260571	0.635319931	0.709955919
AC096541.1	0.192095812	0.645806466	0.496055879
AC096586.2	0.16296079	0.656670634	0.729735808
AC096642.1	0.022213194	0.809752281	0.201994781
AC096642.2	0.054551243	0.95869971	0.455404001
AC096647.1	0.085763635	0.508790712	0.544849316
AC096720.1	0.717588732	0.928244558	0.293393478
AC096720.2	0.369550442	0.229139568	0.146063632
AC096751.1	0.139532832	0.006135791	0.366716954
AC096759.2	0.817750037	0.501405513	0.910369868
AC096861.2	0.875084005	0.971143292	0.655870896
AC096887.1	0.708555738	0.131135994	0.778043994
AC096992.2	0.000161368	0.758169233	0.441188512
AC097263.1	0.174369455	0.244431213	0.817629745
AC097358.2	0.95993278	0.323738519	0.543965449
AC097359.2	0.000344353	0.370756176	0.620187552
AC097372.2	0.253316255	0.767398699	0.511856179
AC097376.2	4.31E-10	0.091664058	0.147084654
AC097381.1	0.858795876	0.952970289	0.925678634
AC097382.1	0.26118681	0.246527054	0.202958042
AC097382.2	0.298166921	0.211849024	0.704194078
AC097382.3	0.000854672	0.633556613	0.386390645
AC097448.1	2.25E-07	0.323330321	0.195437499
AC097460.1	0.364489037	0.661792733	0.982797845
AC097460.3	0.838311286	0.517206146	0.906921376
AC097468.4	0.495416171	0.103293804	0.300561554
AC097487.1	0.44548636	0.972238228	0.906573481
AC097493.2	0.911228995	0.162119754	0.497663301
AC097493.4	0.389173896	0.836824329	0.772095485
AC097523.1	0.272183956	0.118729225	0.664176627
AC097534.1	0.155443805	0.90627477	0.110672475
AC097534.2	3.10E-22	0.85943004	0.342532996
AC097625.2	0.835363118	0.524442089	0.917780117
AC097636.2	0.735889534	0.93720783	0.554070088
AC097638.1	0.559544087	0.559085314	0.894069393
AC097639.1	0.903909322	0.277575572	0.843927084
AC097641.2	0.593603239	0.088385485	0.829591584
AC097652.1	0.006978851	0.247869855	0.819383663
AC097658.1	0.163927686	0.940589317	0.741224716
AC097662.1	0.480203291	0.822669079	0.29040671
AC097717.1	0.007315524	0.984728028	0.541976525
AC098479.1	0.834250815	0.780369711	0.884228033
AC098484.2	0.731243604	0.786434549	0.774586424
AC098484.4	0.666837423	0.677947141	0.2443808
AC098583.1	0.590099039	0.358992108	0.553805173
AC098588.1	0.574743871	0.798696437	0.145654077
AC098590.1	0.299846471	0.659671107	0.790871337
AC098591.1	0.790336076	0.181009411	0.312062532
AC098591.2	0.930927547	0.489766073	0.150405824
AC098614.3	0.872447323	0.617554595	0.67903446
AC098820.1	0.874413762	0.615257901	0.782952395
AC098847.1	0.014157809	0.751157078	0.848243923
AC098850.3	5.39E-05	0.314554696	0.16347166
AC098869.2	0.447158507	0.713747014	0.801182532
AC098934.1	0.017031949	0.020344196	0.011845776
AC098934.2	0.808897872	0.906953431	0.28058232
AC098934.3	0.10974013	0.689110082	0.186026538
AC098935.1	0.806620642	0.861584227	0.21246223
AC098936.1	3.91E-07	0.990475532	0.673233372
