Accession	naive_primed	naive_naive2i	primed_primed2i
CU129_HUMAN	0.118871042	0.127734773	0.389283142
CHCH2_HUMAN	0.096007873	0.525393384	0.195891851
TERA_HUMAN	0.560591701	0.130597853	0.153616022
ACINU_HUMAN	0.442487885	0.010881336	0.067492721
MMTA2_HUMAN	0.260962278	0.032840231	0.357268735
PELP1_HUMAN	0.029107559	0.12963401	0.335096043
RAC1_HUMAN;RAC2_HUMAN	0.024307394	0.041829065	0.685920342
VEZF1_HUMAN	0.213292402	0.203425404	0.150501573
PCBP1_HUMAN	0.012425618	0.16825468	0.525108523
PABP4_HUMAN	0.080917995	0.025592356	0.236274077
PPIA_HUMAN	0.957086588	0.11303512	0.008339015
SMC1A_HUMAN	0.001789634	0.388455244	0.891868732
TCPZ_HUMAN	0.006862814	0.784010311	0.162631265
DDX10_HUMAN	0.057908068	0.098077656	0.548329576
F207A_HUMAN	0.146190333	0.035529034	0.046690602
RHOA_HUMAN;RHOC_HUMAN	0.850381261	0.009169316	0.276608816
HNRH1_HUMAN	0.004231282	0.327675149	0.703752176
DNJC8_HUMAN	0.011481067	0.095635083	0.109466272
H1T_HUMAN	0.156757403	0.242831005	0.292159479
K2C1_HUMAN	0.012675616	0.296210118	0.115992669
RL36_HUMAN	0.009986017	0.027163742	0.383979334
CAF1B_HUMAN	0.168683711	0.168683711	NA
IBP2_HUMAN	0.019676507	0.622159164	0.951081314
INCE_HUMAN	0.537314541	0.200003536	0.050219589
THOC4_HUMAN	0.000259465	0.447223354	0.320687306
LMNB2_HUMAN	0.002927427	0.147893969	0.279417836
DREB_HUMAN	0.031263026	0.01801171	0.091360254
RS14_HUMAN	0.051438075	0.061727521	0.904296188
IF2B_HUMAN	0.067543324	0.301582308	0.107651292
SRRM2_HUMAN	0.131376396	0.080133041	0.200628218
AKIP_HUMAN	0.001103967	0.187237635	0.047422653
NOL7_HUMAN	0.141242768	0.889289726	0.145492802
TCPG_HUMAN	0.030178347	0.382851205	0.596195076
H13_HUMAN	0.09979288	0.569514234	0.264071288
SF3B1_HUMAN	0.006854096	0.075952269	0.529240735
DDX54_HUMAN	0.025519692	0.056429697	0.408311846
RL8_HUMAN	0.00450652	0.00592072	0.927653564
ATN1_HUMAN	0.005343387	0.018405589	0.900870277
HNRPM_HUMAN	0.153370208	0.147501984	0.092073855
BRD3_HUMAN	0.85461568	0.071077884	0.937926675
RL6_HUMAN	0.002748497	0.025500846	0.104339966
SF01_HUMAN	0.014436583	0.077484069	0.042302927
SMC3_HUMAN	0.004595984	0.172778379	0.481003776
ECHB_HUMAN	0.013871694	0.355479938	0.826180301
ZN512_HUMAN	0.434933301	0.102784022	0.286448334
RCC2_HUMAN	0.454680158	0.850470241	0.061250121
NUCL_HUMAN	0.02157859	0.119381809	0.227549059
CBX1_HUMAN	0.085290345	0.076661658	0.140092824
P5CR2_HUMAN	0.571933798	0.003003848	0.513007385
CK5P3_HUMAN	0.027211973	0.200955373	0.829677054
CKAP2_HUMAN	0.193982199	0.12973045	0.035721403
SMD1_HUMAN	0.02943242	0.04099465	0.510381128
PSMD6_HUMAN	0.067527794	0.70038863	0.535879191
SYFB_HUMAN	0.017524891	0.313146736	0.583469104
ALBU_BOVIN	0.063112272	0.132448905	0.816192023
PSPC1_HUMAN	0.073889355	0.679454845	0.145497306
SLTM_HUMAN	0.070321639	0.516214317	0.230256784
RL27_HUMAN	0.001013449	0.072492724	0.406713926
SF3B3_HUMAN	0.034985425	0.459737702	0.753574388
PNKP_HUMAN	0.033618022	0.70692254	0.392583123
LBR_HUMAN	0.015563571	0.438463731	0.069099875
RS3_HUMAN	0.018578761	0.026254487	0.724249436
GORAB_HUMAN	0.134334073	0.320600131	0.436246731
RL11_HUMAN	0.020179935	0.217083701	0.74456559
SDHF4_HUMAN	0.056327384	0.696860999	0.698620265
CPSF7_HUMAN	0.012926275	0.735407431	0.928298405
HAP28_HUMAN	0.034411165	0.330125346	0.09848664
ZC11A_HUMAN	0.039797752	0.030638858	0.456852869
BMS1_HUMAN	0.050078074	0.254588206	0.608087271
LRC59_HUMAN	0.040556864	0.944272827	0.12210626
NDUF3_HUMAN	0.013948905	0.980646724	0.694487948
AK17A_HUMAN	0.055830623	0.917093304	0.71044429
RU2A_HUMAN	0.129647699	0.293061579	0.148708538
RUXE_HUMAN	0.000333296	0.471663466	0.947026245
COXM2_HUMAN	0.051084609	0.132905951	0.985336266
RS15A_HUMAN	0.00633371	0.021237255	0.464301374
UTP11_HUMAN	0.009361385	0.013812963	0.704422204
RS7_HUMAN	0.040235187	0.06772402	0.773174526
ILF3_HUMAN;STRBP_HUMAN	0.001192381	0.079041738	0.712792837
MOES_HUMAN	0.131764175	0.117649365	0.045414146
SRP09_HUMAN	0.214611041	0.256673837	0.57159127
DPY30_HUMAN	0.415771793	0.033130837	0.38684961
P5CS_HUMAN	0.077386763	0.566035782	0.352952429
WDR1_HUMAN	0.306188096	0.771308924	0.063187678
LSM4_HUMAN	0.018434348	0.042925937	0.812642557
TBA1A_HUMAN	0.265574464	0.267333826	0.051564178
RRP1B_HUMAN	0.865552872	0.026271374	0.037134543
PIN4_HUMAN	0.152179137	0.173031945	0.045140131
TPM1_HUMAN	0.439650952	0.552068215	0.0361566
APEX1_HUMAN	0.006710771	0.037269569	0.721076827
NUP93_HUMAN	0.01875425	0.023284935	0.687223022
RL26_HUMAN	0.019030152	0.018540749	0.822786099
ZNF22_HUMAN;ZSC20_HUMAN	0.284494009	0.09579751	0.661399146
RM33_HUMAN	0.008134561	0.369822502	0.741516573
RS6_HUMAN	0.180846185	0.008883293	0.258107222
CHCH1_HUMAN	0.064878075	0.173601279	0.396551679
CAZA1_HUMAN;CAZA2_HUMAN	0.068621974	0.243547836	0.807159251
PRDX2_HUMAN	0.84276101	0.030885597	0.113429252
HMGB1_HUMAN	0.038958713	0.145056678	0.364843081
ROAA_HUMAN	0.150294868	0.275457043	0.064644542
DJC17_HUMAN	0.098929417	0.029634327	0.176962575
SRP14_HUMAN	0.381732462	0.038237709	0.41205188
H4_HUMAN	0.020596808	0.079343242	0.420713318
EF2_HUMAN	0.020021875	0.70053304	0.01498203
KNOP1_HUMAN	0.607997121	0.033691814	0.080432471
KI67_HUMAN	0.329730412	0.355015212	0.129668278
CHTOP_HUMAN	0.049499527	0.08732334	0.369772335
DD19A_HUMAN	0.142611426	0.038371	0.1109593
TCPD_HUMAN	0.022409672	0.430019957	0.059715298
H33_HUMAN	0.055819939	0.013634238	0.162075952
H31_HUMAN	0.055819939	0.013634238	0.162075952
SNAA_HUMAN	0.049284497	0.047888678	0.637086582
SARNP_HUMAN	0.591255126	0.817349773	0.113291763
H2AV_HUMAN	0.332488179	0.152806489	0.021634611
RS4X_HUMAN	0.01011051	0.106585783	0.301206256
NDUAC_HUMAN	0.685451457	0.049378847	0.576742364
SETLP_HUMAN;SET_HUMAN	0.582320403	0.041971122	0.031526022
DNM3A_HUMAN	0.029583284	0.593429323	0.360104917
EDF1_HUMAN	0.028350998	0.804613293	0.22964022
DSRAD_HUMAN	0.060228726	0.237124323	0.336199236
RU17_HUMAN	0.047061676	0.49951843	0.812299097
ILF2_HUMAN	0.101053618	0.643158963	0.314449523
TBCA_HUMAN	0.039455804	0.73420465	0.078844538
1433F_HUMAN	0.030829551	0.615729657	0.659213951
SDHB_HUMAN	0.051858572	0.665969281	0.723449469
COX7C_HUMAN	0.000653408	0.566587516	0.205478955
NUCB1_HUMAN	0.079394152	0.882626737	0.807455569
CGBP1_HUMAN	0.093454516	0.129893635	0.088334929
K1C10_HUMAN;K1C13_HUMAN	0.009461682	0.891578736	0.095399149
TKT_HUMAN	0.269143376	0.008289392	0.399661698
LEF1_HUMAN	0.674780896	0.305635749	0.438971668
KHDR1_HUMAN	0.909562701	0.02777827	0.187398695
RPB3_HUMAN	0.03605083	0.919912679	0.847097214
FEN1_HUMAN	0.943660392	0.012194118	0.29131671
RL21_HUMAN	0.096622063	0.036455517	0.061771784
UIF_HUMAN	0.358038653	0.153381037	0.090723922
IMB1_HUMAN	0.032309583	0.208524758	0.038231879
EXOS5_HUMAN	0.046133362	0.086511206	0.772546848
CPSF1_HUMAN	0.018966502	0.058938791	0.576262409
AR6P4_HUMAN	0.029519584	0.595101546	0.140756692
PPIB_HUMAN	0.007554749	0.034653543	0.343743332
RBM34_HUMAN	0.486721141	0.072492607	0.039572682
RRBP1_HUMAN	0.018479915	0.02726872	0.578148914
PRS6B_HUMAN	0.078424988	0.547213906	0.052150847
NONO_HUMAN	0.033926416	0.152212133	0.341625579
CHD4_HUMAN	0.233587252	0.48232618	0.596935332
RBM39_HUMAN	0.092355193	0.391809187	0.320342177
PLRG1_HUMAN	0.139552599	0.431954622	0.242785259
NAT10_HUMAN	0.093829725	0.206461329	0.110786033
RL19_HUMAN	0.043446065	0.347626833	0.28719701
C2D1A_HUMAN	0.353033113	0.191380173	0.020619263
PRP19_HUMAN	0.201089363	0.439030478	0.537688684
ECH1_HUMAN	0.008673304	0.185969932	0.550405647
RS13_HUMAN	0.023027838	0.005008135	0.706308754
RL36A_HUMAN	0.157779057	0.073536537	0.303115003
SRSF2_HUMAN	0.372388161	0.770524249	0.253525629
RL29_HUMAN	0.086397843	0.105460123	0.22923757
PDIA3_HUMAN	0.207394668	0.114404118	0.294205661
PPIG_HUMAN	0.023238997	0.487673887	0.979709069
RCL1_HUMAN	0.369369745	0.998111672	0.292312916
PA1B3_HUMAN	0.013454596	0.406898578	0.188593776
ATP5I_HUMAN	0.202928858	0.896610793	0.433075414
CLCA_HUMAN	0.342784234	0.189001318	0.236834739
NPM_HUMAN	0.939175002	0.053291049	0.064555458
MYH10_HUMAN	0.108397859	0.10813249	0.672402631
RL1D1_HUMAN	0.050914691	0.564512431	0.022499403
TADBP_HUMAN	0.386028489	0.399137404	0.097435337
FUBP1_HUMAN	0.367844541	0.096583572	0.052120653
NDKA_HUMAN	0.074760091	0.121198465	0.918070854
ATF1_HUMAN	0.140695177	0.217859504	0.023005834
MFAP1_HUMAN	0.0893297	0.686117522	0.394744297
HXK3_HUMAN	0.035608234	0.058081222	0.421957838
PRPF3_HUMAN	0.210827251	0.251641259	0.016379564
RS25_HUMAN	0.239597898	0.059885872	0.366502232
RL13_HUMAN	0.024241887	0.021784819	0.991604599
EF1G_HUMAN	0.761860439	0.414681937	0.065624846
ROA0_HUMAN	0.05306221	0.650101995	0.684876997
HS71B_HUMAN;HS71A_HUMAN	0.03366036	0.107040636	0.399708985
RS19_HUMAN	0.031683583	0.061447344	0.994735871
PHF6_HUMAN	0.48230898	0.148733806	0.606442374
H10_HUMAN	0.007016656	0.90239172	0.006830539
APR_HUMAN	0.021088997	0.575294411	0.441025891
NOL11_HUMAN	0.069236279	0.356234977	0.967508937
RS24_HUMAN	0.685060271	0.174576401	0.037481827
LON_MYCMO	0.13558169	0.875636854	0.655331068
TRYP_PIG	0.042613582	0.880737292	0.238714398
TMA16_HUMAN	0.099555831	0.271840434	0.401622913
ZO1_HUMAN	0.022627012	0.244371723	0.038616761
FKBP3_HUMAN	0.132839082	0.718028	0.47374576
TCP4_HUMAN	0.254663212	0.398706688	0.325353886
AATF_HUMAN	0.020680531	0.689437274	0.877608764
CDC37_HUMAN	0.842849293	0.268961441	0.022983431
ELYS_HUMAN	0.422590404	0.11970768	0.143296991
VIME_HUMAN;DESM_HUMAN	0.573460208	0.977238927	0.221824612
ANXA7_HUMAN	0.09018057	0.881568674	0.542748631
EAF6_HUMAN	0.033369762	0.203175346	0.906306135
RS15_HUMAN	0.004458133	0.062046751	0.70687315
RSRC2_HUMAN	0.036806844	0.645702866	0.584458445
TPM3_HUMAN	0.210656643	0.570921866	0.010399745
ATIF1_HUMAN	0.490947107	0.011464886	0.660676981
H2A1D_HUMAN	0.09386802	0.044609553	0.997203343
ACTN4_HUMAN	0.084212228	0.114743887	0.607629415
LSM3_HUMAN	0.297144175	0.454388364	0.078193753
ANXA5_HUMAN	0.098856906	0.491418061	0.211214339
DDX49_HUMAN	0.167277593	0.188396084	0.991415231
PDIA1_HUMAN	0.021083821	0.03820814	0.941213881
T10B_HUMAN	0.000534606	0.776786082	0.169935494
PEX14_HUMAN	0.58429317	0.097452102	0.22110002
RL39_HUMAN	0.095147435	0.135473736	0.495125215
PGAM1_HUMAN;PGAM4_HUMAN	0.120837435	0.134902314	0.161395299
HSP7C_HUMAN	0.182193986	0.064845724	0.452835652
RUVB2_HUMAN	0.04554878	0.682474513	0.824576662
RRP15_HUMAN	0.040928605	0.038552157	0.58009676
CWC15_HUMAN	0.344032871	0.076144841	0.274896012
ELMO1_HUMAN	0.36065573	0.129087414	0.052254315
M4K3_HUMAN	0.072394845	0.377194295	0.371900346
H2B1H_HUMAN;H2B1B_HUMAN;H2B2E_HUMAN	0.077745269	0.082031714	0.778420978
EF1A3_HUMAN;EF1A1_HUMAN;EF1A2_HUMAN	0.177905993	0.330013866	0.056590286
PQBP1_HUMAN	0.222646341	0.212859207	0.101173333
PYM1_HUMAN	0.935702849	0.129841418	0.071367828
RNPS1_HUMAN	0.068319724	0.58460332	0.541574828
PTBP2_HUMAN	0.03251009	0.198082658	0.840671453
FLNA_HUMAN	0.324386791	0.117725334	0.097438688
ROA1_HUMAN	0.18436554	0.181051513	0.209075315
DEK_HUMAN	0.200211735	0.134837927	0.732435353
RL7A_HUMAN	0.162462811	0.069271354	0.429727161
SMCE1_HUMAN	0.157676052	0.133308716	0.098787579
RS16_HUMAN	0.003547704	0.021132973	0.865049393
RBM14_HUMAN	0.793873455	0.008051984	0.862227971
UTP18_HUMAN	0.565895481	0.589932726	0.176509308
ENY2_HUMAN	0.415924128	0.060513326	0.307320068
H2A2C_HUMAN	0.191828194	0.031224738	0.694698147
RS29_HUMAN	0.966516377	0.015283529	0.351448296
TR150_HUMAN	0.063009286	0.197420293	0.63869892
H1X_HUMAN	0.042688271	0.703631843	0.461397256
SNRPA_HUMAN	0.037174332	0.169336574	0.773903731
U2AF2_HUMAN	0.223156987	0.932959482	0.608166766
PICAL_HUMAN	0.160247514	0.185514475	0.409806687
RBM25_HUMAN	0.665927309	0.031734321	0.17418217
MBB1A_HUMAN	0.225672638	0.690161754	0.055836666
CHAP1_HUMAN	0.196551555	0.47847156	0.506348187
PGAM5_HUMAN	0.023760737	0.077165831	0.282666235
RS21_HUMAN	0.164467343	0.221014482	0.422662809
RASK_HUMAN	0.059044203	0.540676445	0.6530584
RL28_HUMAN	0.183921519	0.130426954	0.733823688
RS11_HUMAN	0.602395435	0.073269077	0.144570841
H2B1J_HUMAN;H2B1K_HUMAN;H2B1C_HUMAN	0.042430553	0.133119275	0.874584518
DNJA1_HUMAN	0.220669812	0.118441982	0.313972664
PHIP_HUMAN	0.069514497	0.953755889	0.308737241
RL7_HUMAN	0.001086653	0.145326312	0.732665082
ETFB_HUMAN	0.203555194	0.136486166	0.46026146
LSG1_HUMAN	0.352828699	0.33346487	0.070536526
CBX3_HUMAN	0.097413675	0.12876467	0.432600649
NOLC1_HUMAN	0.851575773	0.380005291	0.103868682
CCD86_HUMAN	0.464285062	0.005562931	0.438310441
PDIP3_HUMAN	0.651827868	0.070297027	0.181707332
DDB1_HUMAN	0.768336339	0.129620756	0.498265114
SFPQ_HUMAN	0.096525765	0.043379395	0.677137675
WBP11_HUMAN	0.824504356	0.126220361	0.044505234
ELAV1_HUMAN	0.140825434	0.059242834	0.388221916
SND1_HUMAN	0.293700218	0.071946744	0.619234927
HNRPK_HUMAN	0.32668924	0.900545335	0.259664204
SR140_HUMAN	0.260406099	0.244366787	0.513941267
G3BP2_HUMAN	0.936381329	0.109254902	0.426879737
PGK1_HUMAN	0.109838859	0.471437819	0.26211428
AMRP_HUMAN	0.065115847	0.144205023	0.317457327
HMGB2_HUMAN	0.823156406	0.172280459	0.181133083
RL38_HUMAN	0.851249249	0.158332564	0.345545472
H2A1J_HUMAN	0.050104764	0.040355678	0.383727765
NDUS6_HUMAN	0.06800686	0.656941353	0.630626469
SF3A3_HUMAN	0.351415497	0.825027461	0.450767255
RL23A_HUMAN	0.334474599	0.565009616	0.24771138
SF3B2_HUMAN	0.631837845	0.643721586	0.120802279
EWS_HUMAN	0.764636334	0.138165537	0.120606822
ALDOA_HUMAN	0.04008553	0.490943112	0.026054285
RTN4_HUMAN	0.088385124	0.554135484	0.526351237
RS18_HUMAN	0.102759973	0.094341775	0.687097828
CREB1_HUMAN	0.515763258	0.080036517	0.284779701
MESD_HUMAN	0.152217707	0.626449459	0.615486235
BCLF1_HUMAN	0.294577057	0.306306739	0.091502439
PCCA_HUMAN	0.086970945	0.573727629	0.748597539
TPM4_HUMAN;TPM2_HUMAN	0.190758885	0.194542753	0.119186578
TOM22_HUMAN	0.172804835	0.288986143	0.25167497
TOP2B_HUMAN	0.255294387	0.933026705	0.646484194
OTX2_HUMAN	0.088513708	0.589925983	0.461621652
H2B2F_HUMAN	0.058921657	0.959285941	0.895398531
RS28_HUMAN	0.258071732	0.200149187	0.413630626
DAZP1_HUMAN	0.161659907	0.508293665	0.08134543
H2AJ_HUMAN	0.464632049	0.081516403	0.482410625
RL32_HUMAN	0.017215999	0.483265571	0.461779243
HDGR2_HUMAN	0.248214928	0.1349922	0.63951804
HNRPD_HUMAN	0.055089101	0.196520949	0.946485641
NUCKS_HUMAN	0.237033725	0.198587292	0.218604891
GTF2I_HUMAN	0.002840387	0.356417986	0.085194526
HNRPQ_HUMAN	0.882076441	0.89185381	0.147547376
CALM1_HUMAN	0.206618993	0.208105496	0.316549717
PSMD2_HUMAN	0.140828988	0.234272055	0.468462573
IF1AX_HUMAN	0.128401102	0.119652322	0.761001004
SRRM1_HUMAN	0.360912571	0.63327111	0.238838011
PABP2_HUMAN	0.022075705	0.384470491	0.972996936
TDIF2_HUMAN	0.080308902	0.276642033	0.548958737
EIFCL_HUMAN	0.192883217	0.030069381	0.081945521
K1C9_HUMAN	0.499107402	0.338030622	0.468562081
PHF5A_HUMAN	0.256673389	0.865717828	0.555376491
FCF1_HUMAN	0.098412316	0.862499333	0.81583306
GLYR1_HUMAN	0.913690902	0.573441069	0.12528948
PUR6_HUMAN	0.212090009	0.131330591	0.605766357
RL5_HUMAN	0.690070504	0.433739163	0.122562106
DDX52_HUMAN	0.917351723	0.797491505	0.105656488
LN28A_HUMAN	0.602298946	0.124428573	0.839147601
NU133_HUMAN	0.433984925	0.146131994	0.18780199
PCBP2_HUMAN	0.012246439	0.129342374	0.546381595
SRSF1_HUMAN	0.511943063	0.956114829	0.224010325
H12_HUMAN	0.143247609	0.546766681	0.516920312
RBM4B_HUMAN	0.096526246	0.549934988	0.124719124
SPF30_HUMAN	0.077346372	0.96285322	0.060465232
SMCA4_HUMAN	0.192406688	0.187203312	0.426515262
TCPB_HUMAN	0.341050541	0.226577982	0.66285733
ARGL1_HUMAN	0.312400215	0.514503282	0.074627291
XRCC6_HUMAN	0.727167794	0.45185593	0.078880849
RRP36_HUMAN	0.539565375	0.2148137	0.155207502
CTNA1_HUMAN;CTNA2_HUMAN	0.458619865	0.111907051	0.38068098
TFAM_HUMAN	0.557079879	0.174154595	0.470388457
TPR_HUMAN	0.270904588	0.4033755	0.283872006
EXOS8_HUMAN	0.277415288	0.54788083	0.875787414
LIN7C_HUMAN	0.329407122	0.123579623	0.404818898
CHERP_HUMAN	0.171310613	0.201317085	0.468063597
DHB4_HUMAN	0.650824295	0.05342912	0.656538067
SF3A1_HUMAN	0.836175918	0.821412289	0.129462292
RED_HUMAN	0.343026776	0.379522887	0.365830666
H2B3B_HUMAN	0.346505156	0.474364337	0.385199079
GBRAP_HUMAN	0.190931194	0.815256725	0.853481669
G3BP1_HUMAN	0.63466575	0.149120495	0.516733353
CS025_HUMAN	0.185921083	0.501992493	0.626233243
RS3A_HUMAN	0.481536975	0.124732067	0.495616991
RTRAF_HUMAN	0.236563578	0.698438834	0.606512343
PININ_HUMAN	0.376627258	0.47922068	0.112089145
GANAB_HUMAN	0.41207945	0.083874705	0.938741425
LSM7_HUMAN	0.788681645	0.741862235	0.156282959
RPC22_HUMAN	0.313702404	0.132996823	0.051041658
YBOX3_HUMAN	0.842681246	0.973182567	0.150257115
CHMP5_HUMAN	0.170116117	0.450669649	0.638366515
ACTG_HUMAN;ACTB_HUMAN;ACTA_HUMAN	0.327830272	0.122184486	0.433515365
NOC2L_HUMAN	0.088667745	0.838197564	0.861276292
MPP8_HUMAN	0.773112676	0.217741847	0.309254797
WDR43_HUMAN	0.168486113	0.343945033	0.633954187
HNRPL_HUMAN	0.216005758	0.387465431	0.909505981
RS26L_HUMAN;RS26_HUMAN	0.3114367	0.630126722	0.171061834
SNR40_HUMAN	0.561196577	0.270755052	0.161676152
DDX50_HUMAN	0.115824927	0.218390428	0.423230371
H2A2B_HUMAN	0.478207164	0.710888957	0.211898482
GBB1_HUMAN	0.172865609	0.123449687	0.564368108
ROA2_HUMAN	0.298666103	0.611739054	0.195702223
RS8_HUMAN	0.559761062	0.43250776	0.447344496
WDR18_HUMAN	0.443101368	0.327458651	0.70011433
DDX1_HUMAN	0.239341743	0.162500518	0.343145715
SAS10_HUMAN	0.89977482	0.771675267	0.144048912
2AAA_HUMAN	0.533306271	0.147386203	0.458442607
ACTBL_HUMAN	0.142202748	0.107163176	0.264112846
MFR1L_HUMAN	0.279272906	0.497747511	0.178087138
CTND1_HUMAN	0.854009172	0.222699785	0.295700387
SERA_HUMAN	0.022690227	0.949875277	0.178799221
SCFD1_HUMAN	0.086601112	0.264157388	0.64425792
NDUB1_HUMAN	0.254981145	0.254981145	0.296665037
SP16H_HUMAN	0.423486358	0.312403947	0.487230381
UVRB_MYCPE	0.073558484	0.090608793	0.830407197
PFD6_HUMAN	0.047253376	0.604899401	0.310854394
RS30_HUMAN	0.376804891	0.218258648	0.834707412
NFYA_HUMAN	0.510458688	0.829431705	0.847632595
API5_HUMAN	0.917802842	0.600156479	0.183622266
RS10_HUMAN	0.239867626	0.490414822	0.864057384
H2AX_HUMAN	0.23290003	0.987182322	0.330898826
RUVB1_HUMAN	0.465581341	0.078866885	0.773424493
HNRPU_HUMAN	0.215507296	0.945069537	0.169005663
SNUT1_HUMAN	0.540588406	0.524446194	0.268072219
ML12A_HUMAN;ML12B_HUMAN;MYL9_HUMAN	0.718873024	0.016653716	0.910911138
IMA1_HUMAN	0.757081177	0.489805068	0.476317085
RL30_HUMAN	0.15326414	0.424453972	0.474536197
TCPA_HUMAN	0.096357308	0.741111859	0.277915504
SAFB1_HUMAN	0.130019787	0.122067907	0.712288173
IF2B2_HUMAN	0.367951625	0.634474206	0.171533347
OCAD1_HUMAN	0.379295051	0.604384072	0.291739093
LONP2_HUMAN	0.560298117	0.411768503	0.596324308
CD1E_HUMAN	0.667272867	0.772546329	0.98533991
MATR3_HUMAN	0.394400828	0.600422351	0.244332734
RS20_HUMAN	0.347229071	0.263887666	0.354901496
MSH2_HUMAN	0.866403495	0.544305193	0.404999419
MCM3_HUMAN	0.834334649	0.976986851	0.560169888
LARP1_HUMAN	0.575586313	0.974451146	0.437564372
RAP1A_HUMAN	0.803232123	0.712434225	0.703013858
H15_HUMAN	0.962915881	0.472112642	0.50869783
ARPC4_HUMAN	0.771843078	0.572558088	0.33273614
ZCH18_HUMAN	0.478337387	0.463643861	0.620172849
SODC_HUMAN	0.164549847	0.745423766	0.360121639
HXK1_HUMAN	0.385767142	0.933859343	0.975981388
DJB11_HUMAN	0.869777165	0.296332951	0.763163714
YBOX1_HUMAN	0.608783294	0.694672839	0.271824502
GLE1_HUMAN	0.902666704	0.586042593	0.337448625
PDIA4_HUMAN	0.288577617	0.504277476	0.476082795
DNJC9_HUMAN	0.709903463	0.963304359	0.342846286
MYH9_HUMAN	0.618759537	0.011120062	0.475127939
PUR9_HUMAN	0.743168256	0.112560799	0.894054876
DDX42_HUMAN	0.132521453	0.618537766	0.710271264
RTCB_HUMAN	0.885283647	0.543137353	0.721906353
UTP15_HUMAN	0.756783065	0.312598828	0.522222347
SPF45_HUMAN	0.274413445	0.602628007	0.769397719
GULP1_HUMAN	0.598837732	0.346921171	0.571091676
ABCF1_HUMAN	0.335884722	0.837638458	0.173466946
CTNB1_HUMAN	0.469279939	0.471317052	0.497889338
CCD58_HUMAN	0.507055685	0.721117191	0.601929409
CALR_HUMAN	0.386288728	0.362774277	0.437115943
PDIA6_HUMAN	0.725419254	0.328394592	0.984648087
NUP98_HUMAN	0.837942921	0.384104867	0.859977866
COF1_HUMAN	0.676458383	0.9361707	0.660120143
GORS2_HUMAN	0.243301844	0.81727532	0.272665296
SREK1_HUMAN	0.352888099	0.629585091	0.648180576
HNRC1_HUMAN	0.793338361	0.522281163	0.52097909
PRC2C_HUMAN	0.96572086	0.876384427	0.660192525
ENPL_HUMAN	0.546117642	0.276500738	0.555044754
FXR1_HUMAN	0.488234564	0.510780496	0.91793816
SSRP1_HUMAN	0.7392348	0.372284238	0.493197468
H14_HUMAN	0.985457667	0.407352804	0.904012902
SOX2_HUMAN;SOX1_HUMAN	0.989846692	0.646376625	0.863598531
TOP1_HUMAN	0.907907363	0.468191146	0.852666683
SRS11_HUMAN	0.54234806	0.62064724	0.569745637
SIM20_HUMAN	0.909076037	0.24847232	0.788133139
PYGM_HUMAN	0.615719499	0.886817937	0.755574383
ZN581_HUMAN	0.120191958	0.454107504	0.829471198
RBM22_HUMAN	0.457917712	0.797868344	0.916287935
CIRBP_HUMAN	0.543680284	0.67820172	0.714542598
TLL2_HUMAN	0.6433329	0.956862362	0.799218632
CLH1_HUMAN	0.637122146	0.875529281	0.826115151
IF2_MYCMO	0.699286329	0.40468569	0.171666572
RBP56_HUMAN	0.843828107	0.665793165	0.966279834
RPAB2_HUMAN	0.229781648	0.934401009	0.129109529
UFL1_HUMAN	0.907003761	0.427858224	0.786389336
FA98A_HUMAN	0.917200668	0.54943121	0.634421013
RAIN_HUMAN	0.989301401	0.456529888	0.887408092
